Store Name = ALMADINA STORE,,,,,,
Company,Item,Unit price,Pieces,Purchase,Sale,Product Link
Giggly,Opus Chocolate,Rs=50,,,,https://www.daraz.pk/tag/giggly-opus/
Giggly,Opus Chocolate,Rs=10,20,171,200,https://cheezbazar.com/product/giggly-opus-chocolate/
Giggly,Opus Chocolate,Rs=100,10,870,1000,https://yumtreats.pk/products/giggly-opus-chocolate-with-caramel-40-pcs
Giggly,Tropi Chocolate,Rs=10,18,146,180,https://www.daraz.pk/tag/giggly-tropi-chocolate/
Giggly,Boom Boom Bubble,Rs=5,60,262,300,https://www.daraz.pk/tag/giggly-boom-boom/
Giggly,Twisto Jelly,Rs=5,60,262,300,https://www.daraz.pk/tag/giggly-twisto-jelly/
Giggly,iDeal Chocolate,Rs=5,40,168,200,https://www.daraz.pk/tag/giggly-ideal-chocolate/
Goffy,Trianglo Chocolate,Rs=5,36,145,180,https://www.daraz.pk/tag/goffy-trianglo/
Goffy,Trianglo Chocolate,Rs=10,30,248,300,https://www.daraz.pk/tag/goffy-trianglo/
Goffy,Oat Milk Chocolate,Rs=10,30,248,300,https://www.daraz.pk/tag/goffy-oat-milk-chocolate/
Goffy,Oat Milk Chocolate,Rs=20,24,392,480,https://www.daraz.pk/tag/goffy-oat-milk-chocolate/
Goffy,Crazy Egg,Rs=50,24,960,1200,https://www.daraz.pk/tag/goffy-crazy-egg/
Candyland,Bissca Chocolate,Rs=20,12,188,240,https://sherastore.com/product/candyland-bisca-chocolate-box-20x12-piece-box/
Cadbury,Perk Chocolate,Rs=10,36,313,360,https://www.daraz.pk/tag/cadbury-perk/
Cadbury,Perk Chocolate,Rs=20,24,430,480,https://www.daraz.pk/tag/cadbury-perk/
Cadbury,Dairy Milk,Rs=20,24,213,240,https://www.naheed.pk/cadbury
Cadbury,Dairy Milk,Rs=30,24,645,720,https://www.naheed.pk/cadbury
Cadbury,Dairy Milk,Rs=50,24,1050,1200,https://www.naheed.pk/cadbury
Cadbury,Dairy Milk,Rs=100,24,2050,2400,https://www.naheed.pk/cadbury
Cadbury,Eclair Toffee,Rs=5,48,187,240,https://www.daraz.pk/tag/cadbury-eclair/
Mayfair,Cafe,Rs=10,24,213,240,https://www.daraz.pk/tag/mayfair-cafe/
Mayfair,Special,Rs=10,24,213,240,https://www.daraz.pk/tag/mayfair-special/
Mayfair,Heart Puff,Rs=10,24,213,240,https://www.daraz.pk/tag/mayfair-heart-puff/
Gibs,Zeera Flavor,Rs=20,8,128,160,https://www.daraz.pk/tag/gibs-zeera/
Gibs,Makhn Flavor,Rs=20,8,128,160,https://www.daraz.pk/tag/gibs-makhn/
Gibs,Coconut Flavor,Rs=20,8,128,160,https://www.daraz.pk/tag/gibs-coconut/
Gibs,Lolipop Micky,Rs=5,30,122,150,https://www.daraz.pk/tag/gibs-lollipop/
Candyland,Bottom Bunty,Rs=30,12,268,360,https://www.daraz.pk/tag/candyland-bottom-bunty/
